snapshot_date,index_code,index_name,ticker,name,market,sector,open,high,low,close,volume,amount,change_pct,bps,per,pbr,eps,div,dps,fwd_per,member_yn,collected_at,source
2026-03-27,1028,KOSPI 200,028260,삼성물산,KOSPI,,267500,270500,258000,269000,683519,181003086500,-3.24,189865.0,19.74,1.42,13629.0,,2600.0,17.15,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,028670,팬오션,KOSPI,,4810,4930,4755,4900,2405013,11645041703,-1.61,10576.0,9.76,0.46,502.0,,120.0,6.98,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,029780,삼성카드,KOSPI,,53900,55100,53300,55000,125189,6771397950,0.92,79525.0,8.83,0.69,6228.0,,2800.0,9.53,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,030000,제일기획,KOSPI,,19810,19890,19550,19830,363416,7156923500,0.0,14396.0,9.68,1.38,2049.0,,1230.0,9.61,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,030200,KT,KOSPI,,59500,60800,58800,60800,273113,16383422150,1.84,65942.0,31.8,0.92,1912.0,,2000.0,10.08,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,032640,LG유플러스,KOSPI,,15810,16370,15430,16100,1634597,26231493830,0.94,19906.0,18.48,0.81,871.0,,650.0,9.23,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,032830,삼성생명,KOSPI,,218000,224500,215000,223000,310598,68418985000,0.45,171141.0,19.01,1.3,11732.0,,4500.0,18.05,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,033780,KT&G,KOSPI,,155400,158200,153200,158000,165718,25927548800,1.61,85662.0,13.96,1.84,11314.0,,5400.0,14.87,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,034020,두산에너빌리티,KOSPI,,97700,99200,95100,98100,3549743,344355383700,-2.78,11705.0,563.79,8.38,174.0,,0.0,151.08,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,034220,LG디스플레이,KOSPI,,11350,11500,10930,11500,4167020,46636806660,-0.26,13085.0,,0.88,,,0.0,7.51,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,034230,파라다이스,KOSPI,,16800,17840,16730,17830,767003,13443730190,4.94,18941.0,20.38,0.94,875.0,,150.0,15.37,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,034730,SK,KOSPI,,326000,335500,315500,334000,108664,35489673250,-0.74,455927.0,,0.73,,,7000.0,7.04,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,035250,강원랜드,KOSPI,,18140,18300,17940,18260,740646,13451649830,0.11,19379.0,8.09,0.94,2257.0,,1170.0,13.01,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,035420,NAVER,KOSPI,,208000,213000,206000,212500,439328,92204026500,0.47,170953.0,16.73,1.24,12702.0,,1130.0,14.44,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,035720,카카오,KOSPI,,47550,48800,46950,48800,1271649,61024342525,0.31,23100.0,387.3,2.11,126.0,,68.0,30.42,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,036460,한국가스공사,KOSPI,,35400,35500,34600,35400,220082,7707993050,-1.67,124079.0,2.69,0.29,13174.0,,1455.0,4.12,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,036570,엔씨소프트,KOSPI,,220500,230500,220500,230000,99190,22615956750,2.0,157673.0,48.65,1.46,4728.0,,1460.0,13.63,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,039490,키움증권,KOSPI,,404000,438250,400500,435000,102274,43386341500,3.94,210068.0,13.91,2.07,31269.0,,7500.0,8.22,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,042660,한화오션,KOSPI,,120500,123400,117300,123200,833837,100361705450,-1.99,15857.0,74.76,7.77,1648.0,,0.0,26.16,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,042700,한미반도체,KOSPI,,269000,281000,257000,275500,773071,207308154000,-0.9,5698.0,173.38,48.35,1589.0,,720.0,63.1,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,047040,대우건설,KOSPI,,15490,17590,15480,17260,54365132,915472658435,8.55,10444.0,30.28,1.65,570.0,,0.0,22.97,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,047050,포스코인터내셔널,KOSPI,,76900,77200,72600,74500,975843,72094386500,-4.73,38397.0,24.68,1.94,3019.0,,1550.0,15.94,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,047810,한국항공우주,KOSPI,,181000,188700,177200,186500,471152,86042959050,-0.8,17500.0,105.67,10.66,1765.0,,500.0,44.39,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,051600,한전KPS,KOSPI,,58700,59300,57400,59000,258903,15098072700,-2.64,29520.0,15.4,2.0,3832.0,,2469.0,16.83,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,051900,LG생활건강,KOSPI,,240500,247500,236500,247500,60981,14863465250,2.27,332194.0,21.94,0.75,11281.0,,3500.0,27.9,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,051910,LG화학,KOSPI,,304000,316500,298500,313000,239600,73821790500,-0.32,425221.0,,0.74,,,1000.0,146.58,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,052690,한전기술,KOSPI,,159000,159900,150800,157000,205195,31785545300,-4.21,15179.0,102.08,10.34,1538.0,,999.0,84.63,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,055550,신한지주,KOSPI,,93400,93900,90000,93500,1363436,125814683500,0.11,112364.0,11.08,0.83,8441.0,,2160.0,8.15,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,062040,산일전기,KOSPI,,162100,162500,145000,149300,4238017,625041037050,-11.45,14292.0,47.61,10.45,3136.0,,420.0,21.44,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,064350,현대로템,KOSPI,,183100,184700,177500,184200,448796,81332916450,-2.95,18737.0,49.41,9.83,3728.0,,200.0,18.72,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,064400,LG씨엔에스,KOSPI,,60000,61300,59100,61100,401019,24077264750,-0.16,24257.0,14.62,2.52,4180.0,,1672.0,11.9,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,066570,LG전자,KOSPI,,109100,112200,107700,112000,552035,60737729850,-0.88,116595.0,55.01,0.96,2036.0,,1000.0,11.06,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,066970,엘앤에프,KOSPI,,141000,158400,140000,155300,1897659,287913527600,7.47,21264.0,,7.3,,,0.0,126.55,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,068270,셀트리온,KOSPI,,200500,207000,199100,206000,466923,95278607800,1.48,78248.0,109.34,2.63,1884.0,,750.0,31.0,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,069260,TKG휴켐스,KOSPI,,19200,19210,17840,18200,135378,2458253840,-1.99,22621.0,8.99,0.8,2024.0,,1000.0,7.63,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,069620,대웅제약,KOSPI,,159600,167000,158300,167000,32264,5305824500,3.47,69061.0,77.67,2.42,2150.0,,600.0,10.99,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,069960,현대백화점,KOSPI,,83800,84800,82600,84500,118710,9923352950,0.0,201113.0,,0.42,,,1400.0,6.88,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,071050,한국금융지주,KOSPI,,208000,220000,206000,220000,213218,45774117250,1.85,165262.0,12.36,1.33,17799.0,,3980.0,6.48,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,071320,지역난방공사,KOSPI,,82700,82800,78300,79400,104304,8260084300,-11.97,195798.0,4.71,0.41,16850.0,,3879.0,4.97,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,071970,HD현대마린엔진,KOSPI,,77100,77500,73300,76700,250911,18841921800,-2.66,9120.0,31.19,8.41,2459.0,,0.0,19.88,True,2026-03-29 23:36:01,krx_data_marketplace
2026-03-27,1028,KOSPI 200,073240,금호타이어,KOSPI,,5980,6270,5930,6250,417551,2567043995,2.46,5990.0,5.53,1.04,1131.0,,0.0,4.18,True,2026-03-29 23:36:01,krx_data_marketplace
